entity,label,definition,variable,parent_label,parent_IRI,codebook_description,codebook_values,category
http://purl.obolibrary.org/obo/CMO_0000027,White blood cells (x10^3/uL),Only assessed in the 2nd phase of data collection. | Available for all cases but only a subset of controls (Thailand only)., lrccbcg | 226plate153::wbccount | 226plate114::wbccount | WBC | 226plate212::wbccount | 226plate084::wbccount | 226plate054::wbccount | 226plate113::wbccount | X87. Total WBC count,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795,"derived variable from ""labtest"" and corresponding ""results"" variables | 7.1i WBC count | WBC",,Sample
http://purl.obolibrary.org/obo/CMO_0000289,Respiratory rate (breaths/min),Respiratory rate measurement #1 (breaths/min). The field worker measured the participant's respiratory rate during the surveillance visit if the mother reported that the participant experienced coughing or shortness of breath yesterday. Surveillance was conducted twice weekly for up to 3 years of age. | Collected from both cases and controls at time of enrollment.,126plate313::resprt | f5 resp1 | 126plate092::resprt | 126plate413::resprt | 126plate053::resprt | resprate | 226plate012::respirationrt | 126plate303::resprt |  rr adm | F4B RESP1 | 227plate005::vsorres.4 | f4b resp1 | 226plate032::respirationrt | 226plate042::respirationrt | 126plate037::resprt | 126plate003::resprt | 226plate211::respirationrt | 126plate033::resprt | illnessfull::safrr1 | X76. Respiration rate | F7 RESP1 | 226plate201::respirationrt | 226plate102::respirationrt | 226plate152::respirationrt | 226plate004::respirationrt | 126plate023::resprt | F5 RESP1 | 226plate052::respirationrt | 226plate112::respirationrt | 126plate402::resprt | f7 resp1 | 226plate022::respirationrt | 226plate082::respirationrt | 226plate221::respirationrt,Physical examination,http://purl.obolibrary.org/obo/OGMS_0000083,"Respiratory rate 1st | Respiratory rate #1 0-99, original SAF data | 1.4 Respiration rate result | 3.5 Respiration Rate | Respiratory rate at admission (breaths per minute) | Respiratory Rate | First respiratory rate",numeric | >10 unique values | NA,Observation
http://purl.obolibrary.org/obo/CMO_0000591,Urine protein,What was the urine protein,BC-3 mothers delivery database FINAL::luprotein6 | BC-3 enrollment database FINAL::uprotein | BC-3 mothers all visits database FINAL::uprotein | BC-3 mothers delivery database FINAL::luprotein7 | BC-3 mothers delivery database FINAL::luprotein1 | BC-3 mothers delivery database FINAL::luprotein3 | BC-3 mothers delivery database FINAL::luprotein5 | BC-3 mothers delivery database FINAL::luprotein2 | BC-3 mothers delivery database FINAL::luprotein4,Urine test,http://purl.obolibrary.org/obo/EUPATH_0011797,Urine protein5 | Urine protein7 | Urine protein6 | Urine protein | Urine protein1 | Urine protein3 | Urine protein2 | Urine protein4,"0=0,
1=1+,
2=2+,
3=3+",Sample | Observation
http://purl.obolibrary.org/obo/DOID_0050486,Rash,,symptoms chk   16 | symptoms chk fu   16 | rasherupcion | rash,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,Rash,"binary | 1, Yes | 2, No | 3, Unknown",Observation
http://purl.obolibrary.org/obo/DOID_1074,Renal failure,,manifestations chk   4,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,,,Observation
http://purl.obolibrary.org/obo/DOID_11394,Acute respiratory distress syndrome,,ards rad,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,Acute pulmonary edema and acute respiratory distress syndrome,"1, Yes | 99999, unknown | 2, No",Observation
http://purl.obolibrary.org/obo/DOID_1579,Respiratory condition,"Assessed at all scheduled visits, unscheduled visits, and convalescent visits.",126plate311::pulrespcmnt | 226plate020::pulresp cmnt | 126plate035::pulrespcmnt | 226plate150::pulresp cmnt | 126plate021::pulrespcmnt | 126plate051::pulrespcmnt | 226plate100::pulresp cmnt | 226plate080::pulresp cmnt | 226plate030::pulresp cmnt | 126plate411::pulrespcmnt | BC-3 mothers all visits database FINAL::resp | 226plate110::pulresp cmnt | 226plate050::pulresp cmnt | 226plate220::pulresp cmnt | 126plate031::pulrespcmnt | 226plate003::pulresp cmnt | 126plate301::pulrespcmnt | 227plate004::mhterm.1 | 226plate040::pulresp cmnt | 126plate400::pulrespcmnt | 226plate200::pulresp cmnt | 226plate210::pulresp cmnt | 126plate090::pulrespcmnt | 226plate010::pulresp cmnt,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098,1.2 RESP comment | Resp | 2e./1.2  PulResp Diag/Cmnts. / Pul/resp description,,Observation
http://purl.obolibrary.org/obo/DOID_17,Musculoskeletal condition,"Assessed at all scheduled visits, unscheduled visits, and convalescent visits. | musculoskeletal",126plate312::musccmnt | 126plate036::musccmnt | BC-3 enrollment database FINAL::msk | 226plate003::musc cmnt | 126plate412::musccmnt | 227plate004::mhterm.8 | BC-3 mothers all visits database FINAL::msk | 226plate220::musc cmnt | 126plate302::musccmnt | 226plate200::musc cmnt | 126plate032::musccmnt | 226plate051::musc cmnt | 226plate111::musc cmnt | 226plate011::musc cmnt | 126plate052::musccmnt | 226plate210::musc cmnt | 226plate101::musc cmnt | 226plate031::musc cmnt | 126plate401::musccmnt | 126plate022::musccmnt,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098,7e./2.9 Musc Diag/Cmnts / Musculoskel descrip | msk | 1.9 MUSCU comment,,Observation
http://purl.obolibrary.org/obo/DOID_2355,Anemia,,icemr1 brazil observation 05jul18z st::anemia,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,anemia wave 1,binary,Observation
http://purl.obolibrary.org/obo/DOID_28,Endocrine condition,"Assessed at all scheduled visits, unscheduled visits, and convalescent visits. | endocrine",227plate004::mhterm.10 | 226plate210::endmetab cmnt | 226plate200::endmetab cmnt | BC-3 mothers all visits database FINAL::endo | 126plate302::endmetabcmnt | BC-3 enrollment database FINAL::endo | 226plate220::endmetab cmnt | 226plate111::endmetab cmnt,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098,Endo | 1.11 ENDOCRINE comment | 9e./2.11  End/Metab Diag/Cmnts / Endocr/Metab descrip,,Observation
http://purl.obolibrary.org/obo/DOID_37,Skin condition,"Assessed at all scheduled visits, unscheduled visits, and convalescent visits.",126plate021::skindermcmnt | 226plate011::skinderm cmnt | 226plate031::skinderm cmnt | 226plate081::skinderm cmnt | 126plate411::skindermcmnt | 226plate041::skinderm cmnt | 226plate003::skinderm cmnt | 226plate210::skinderm cmnt | 226plate200::skinderm cmnt | 126plate301::skindermcmnt | 226plate101::skinderm cmnt | BC-3 enrollment database FINAL::skin | 126plate400::skindermcmnt | 226plate220::skinderm cmnt | 226plate111::skinderm cmnt | 126plate032::skindermcmnt | 227plate004::mhterm.7 | 226plate051::skinderm cmnt | 126plate035::skindermcmnt | 126plate090::skindermcmnt | 126plate311::skindermcmnt | 226plate151::skinderm cmnt | BC-3 mothers all visits database FINAL::skin,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098,Skin | 1.8 SKIN comment | 6e./2.8 Skin/Derm Diag/Cmnts. /  Skin/Derm description,,Observation
http://purl.obolibrary.org/obo/DOID_4483,Runny nose or nasal congestion,,reasonvis   8,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,Runny nose or nasal congestion,,Observation
http://purl.obolibrary.org/obo/DOID_5614,Eye condition,,BC-3 mothers all visits database FINAL::eye | BC-3 enrollment database FINAL::eye,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098,Eye,,Observation
http://purl.obolibrary.org/obo/DOID_77,Gastrointestinal condition,gastrointestinal,BC-3 enrollment database FINAL::gi | BC-3 mothers all visits database FINAL::gi,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098,gi,,Observation
http://purl.obolibrary.org/obo/DOID_863,Neurological condition,"Assessed at all scheduled visits, unscheduled visits, and convalescent visits. | Neuro",126plate052::neurocmnt | 226plate200::neuro cmnt | 227plate004::mhterm.11 | BC-3 mothers all visits database FINAL::neuro | 226plate210::neuro cmnt | 126plate302::neurocmnt | 226plate101::neuro cmnt | BC-3 enrollment database FINAL::neuro | 126plate312::neurocmnt | 226plate111::neuro cmnt | 126plate022::neurocmnt | 226plate220::neuro cmnt | 126plate412::neurocmnt | 126plate401::neurocmnt | 226plate011::neuro cmnt | 226plate051::neuro cmnt,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098,10e./2.12 Neuro Diag/Cmnts /  Neuro description | Neuro | 1.12 NEURO comment,,Observation
http://purl.obolibrary.org/obo/DOID_9993,Hypoglycemia,,hypoglycemia rad,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002,Hypoglycemia,"1, Yes | 99999, unknown | 2, No",Observation
http://purl.obolibrary.org/obo/DRON_00000904,Amoxicillin syrup,,ext bv ptreat st::syp  amoxycillin,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00001104,Folic acid tablet,,ext bv ptreat st::tab  folic acid,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00001106,Clotrimazole cream,,ext bv ptreat st::clotrimazole cream,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00001109,Nystatin suspension,,ext bv ptreat st::nystatin suspension,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00001114,Gentamicin injection,,ext bv ptreat st::gentamycine inj ,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00001117,Dexamethasone injection,,ext bv ptreat st::inj  dexamethasone,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00001123,Chloramphenicol eye drops,,ext bv ptreat st::cloramphenical eye drop,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00001126,Ceftriaxone injection,,ext bv ptreat st::inj  ceftriaxone,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00001138,Metronidazole syrup,,ext bv ptreat st::syp  metronidzole,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00001509,Prednisolone tablet,,ext bv ptreat st::tab prednisolone,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00001511,Salbutamol syrup,,ext bv ptreat st::syp  sulbutamol,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00017034,Ketotifen,,ext bv ptreat st::ketotifen,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00020431,Norsol nasal drops,,ext bv ptreat st::norsal nasal drop,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00020467,Paracetamol syrup,,ext bv ptreat st::syp  paracetamol,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00020551,Ceevit,,ext bv ptreat st::ceevit,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00020613,Ibruprofen syrup,,ext bv ptreat st::ibruprofen syp,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00020757,Ambrox drops,,ext bv ptreat st::ambrox drop,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00020873,Azithromycin syrup,,ext bv ptreat st::syp  azythromycin,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00021182,Cefixime suspension,,ext bv ptreat st::cefixime sup .cef.3.,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00021212,Cetirizine alatrol,,ext bv ptreat st::cetrizine .alatrol.,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00021279,Chlorpheniramine maleate syrup,,ext bv ptreat st::syp  chlorpheniramine m,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00021346,Ciprofloxacin syrup,,ext bv ptreat st::syp  ciprofloxacin,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00021406,Clotrimazole ear drops,,ext bv ptreat st::cotrimazole ear drop,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00021569,Diazepam tablet,,ext bv ptreat st::tab diazepam,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00021596,Dicycloverine hydrochloride,,ext bv ptreat st::dycyclovarine hcl,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00021709,Omidon syrup,,ext bv ptreat st::omidon syp,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00022040,Glycerine suppository,,ext bv ptreat st::glycerine suppository,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00022124,Hydroxyzine hydrochloride syrup,,ext bv ptreat st::syp  hydroxyzine hcl,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00022367,Mebendazole syrup,,ext bv ptreat st::syp. mebendazole,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00022621,Naproxen syrup,,ext bv ptreat st::syp naproxen,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00022711,Nitrazepam tablet,,ext bv ptreat st::tab nitrazipum,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00022759,Ondansetron syrup,,ext bv ptreat st::ondensetron syp,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00022806,Oxicone,,ext bv ptreat st::oxicone,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00023027,Konakion injection (vitamin K),,ext bv ptreat st::inj  konakion . vit.k.,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00023088,Potassium syrup (Electro K),,ext bv ptreat st::syp  pottasium .electrok.,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00023306,Riboflavin tablet,,ext bv ptreat st::tab  riboflavin,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00023392,Flacol drops,,ext bv ptreat st::flacol drop,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00023558,Theophylline,,ext bv ptreat st::theophyline,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00024920,Povidone ointment,,ext bv ptreat st::povidon ointment,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00025987,Xylometazoline drop,,ext bv ptreat st::xylometazoline drop,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00025989,Tobramycin eye drops,,ext bv ptreat st::tobramicine eye drop,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00026073,Ketoconazole shampoo,,ext bv ptreat st::ketakonazole shampoo,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00026161,Betson cream,,ext bv ptreat st::betson cream,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00026172,Calamine lotion,,ext bv ptreat st::calamine lotion,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00026326,Permethrin cream,,ext bv ptreat st::permethrin cream,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00026348,Silver sulfadiazine (Burnsil),,ext bv ptreat st::silver sulfazidine . burmsil.,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00026595,Lactulose syrup,,ext bv ptreat st::lactulose syp,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00026717,Amlexanox (Apsol gel),,ext bv ptreat st::amlexanox .apsol gel.,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00026889,Montelukast,,ext bv ptreat st::montelukast,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00026927,Nitazoxanide syrup,,ext bv ptreat st::syp  nitazoxanide,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00027488,Ranitidine syrup,,ext bv ptreat st::ranitidine syp,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00027639,Miconazole oral gel,,ext bv ptreat st::miconazole oral gel,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00027939,Tetrasol,,ext bv ptreat st::tetrasol,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00027970,Moxifloxacin eye drops,,ext bv ptreat st::moxifloxacine eye drop,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
http://purl.obolibrary.org/obo/DRON_00028948,Gentin ointment,,ext bv ptreat st::gentin ointment,Medication,http://purl.obolibrary.org/obo/EUPATH_0025092,,,Observation
