entity,label,definition,variables,parent_label,parent_IRI
http://purl.obolibrary.org/obo/CHEBI_3504,Cefpodoxime,,ext bv ptreat st::cefodoxime,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/CHEBI_3547,Cephradine,,ext bv ptreat st::cephradin,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/CHEBI_35727,Triazoles,,Triazole,Anti-fungal agent resistance,http://purl.obolibrary.org/obo/OMP_0000274
http://purl.obolibrary.org/obo/CHEBI_3638,Chloroquine,,pastyear treatdrugs chk   3; pastyear treat drugs chk   3,Antimalarial medications used,http://purl.obolibrary.org/obo/EUPATH_0000430
http://purl.obolibrary.org/obo/CHEBI_46081,Fluconazole,,Fluconazole Ave+Std Dev; FCZ,Triazoles,http://purl.obolibrary.org/obo/CHEBI_35727
http://purl.obolibrary.org/obo/CHEBI_474180,Caspofungin,,CSF,Anti-fungal agent resistance,http://purl.obolibrary.org/obo/OMP_0000274
http://purl.obolibrary.org/obo/CHEBI_55346,Anidulafungin,,AND,Anti-fungal agent resistance,http://purl.obolibrary.org/obo/OMP_0000274
http://purl.obolibrary.org/obo/CHEBI_600520,Micafungin,,MF,Anti-fungal agent resistance,http://purl.obolibrary.org/obo/OMP_0000274
http://purl.obolibrary.org/obo/CHEBI_6076,Itraconazole,,ICZ,Triazoles,http://purl.obolibrary.org/obo/CHEBI_35727
http://purl.obolibrary.org/obo/CHEBI_63609,Mefloquine,,pastyear treatdrugs chk   5; pastyear treat drugs chk   5,Antimalarial medications used,http://purl.obolibrary.org/obo/EUPATH_0000430
http://purl.obolibrary.org/obo/CHEBI_64355,Posaconazole,,PZ,Triazoles,http://purl.obolibrary.org/obo/CHEBI_35727
http://purl.obolibrary.org/obo/CHEBI_8405,Primaquine,,pastyear treatdrugs chk   6; pastyear treat drugs chk   6,Antimalarial medications used,http://purl.obolibrary.org/obo/EUPATH_0000430
http://purl.obolibrary.org/obo/CMO_0000027,White blood cells (x10^3/uL),Only assessed in the 2nd phase of data collection.; Available for all cases but only a subset of controls (Thailand only).,WBC; 226plate153::wbccount; 226plate114::wbccount; 226plate212::wbccount; 226plate054::wbccount; 226plate084::wbccount; 226plate113::wbccount; X87. Total WBC count;  lrccbcg,Blood test,http://purl.obolibrary.org/obo/EUPATH_0011795
http://purl.obolibrary.org/obo/CMO_0000289,Respiratory rate (breaths/min),Respiratory rate measurement #1 (breaths/min). The field worker measured the participant's respiratory rate during the surveillance visit if the mother reported that the participant experienced coughing or shortness of breath yesterday. Surveillance was conducted twice weekly for up to 3 years of age.; Collected from both cases and controls at time of enrollment.,resprate; illnessfull::safrr1; 126plate313::resprt; 126plate092::resprt; 126plate413::resprt; 126plate053::resprt; 226plate012::respirationrt; 126plate303::resprt; 227plate005::vsorres.4; 226plate032::respirationrt; 226plate042::respirationrt; 126plate037::resprt; 126plate003::resprt; 226plate211::respirationrt; 126plate033::resprt; 226plate201::respirationrt; 226plate102::respirationrt; 226plate152::respirationrt; 226plate004::respirationrt; 126plate023::resprt; 226plate052::respirationrt; 226plate112::respirationrt; 126plate402::resprt; 226plate022::respirationrt; 226plate082::respirationrt; 226plate221::respirationrt; X76. Respiration rate;  rr adm; f5 resp1; f7 resp1; f4b resp1; F7 RESP1; F4B RESP1; F5 RESP1; safrr1,Physical examination,http://purl.obolibrary.org/obo/OGMS_0000083
http://purl.obolibrary.org/obo/CMO_0000591,Urine protein,What was the urine protein,BC-3 mothers delivery database FINAL::luprotein6; BC-3 enrollment database FINAL::uprotein; BC-3 mothers all visits database FINAL::uprotein; BC-3 mothers delivery database FINAL::luprotein7; BC-3 mothers delivery database FINAL::luprotein1; BC-3 mothers delivery database FINAL::luprotein3; BC-3 mothers delivery database FINAL::luprotein5; BC-3 mothers delivery database FINAL::luprotein2; BC-3 mothers delivery database FINAL::luprotein4,Urine test; Syphillis sample collected,http://purl.obolibrary.org/obo/EUPATH_0011797
http://purl.obolibrary.org/obo/DOID_0050486,Rash,,symptoms chk   16; rash; rasherupcion; symptoms chk fu   16,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002
http://purl.obolibrary.org/obo/DOID_1074,Renal failure,,manifestations chk   4,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002
http://purl.obolibrary.org/obo/DOID_11394,Acute respiratory distress syndrome,Does the patient meet criteria for Acute Respiratory Distress Syndrome (ARDS),ards rad,Signs and symptoms; Signs and Symptoms; Symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309; http://purl.obolibrary.org/obo/EUPATH_0021002
http://purl.obolibrary.org/obo/DOID_12365,Malaria,,Malaria,Disease,http://purl.obolibrary.org/obo/DOID_4
http://purl.obolibrary.org/obo/DOID_13250,Diarrhea,Assessed for each day.; Abnormally increased frequency of loose or watery bowel movements,Diarrhea; diarrhea; symptoms chk   11; ext bv dir st::diar; diarrea; symptoms chk fu   11,Symptoms; Disease,http://purl.obolibrary.org/obo/EUPATH_0021002; http://purl.obolibrary.org/obo/DOID_4
http://purl.obolibrary.org/obo/DOID_1395,Schistosomiasis,,Schistosomiasis,Disease,http://purl.obolibrary.org/obo/DOID_4
http://purl.obolibrary.org/obo/DOID_14069,Cerebral,Does the patient meet criteria for cerebral malaria,,Signs and symptoms; Signs and Symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309
http://purl.obolibrary.org/obo/DOID_1579,Respiratory system disease; Respiratory condition,"Assessed at all scheduled visits, unscheduled visits, and convalescent visits.",Respiratory system disease; 126plate311::pulrespcmnt; 226plate020::pulresp cmnt; 126plate035::pulrespcmnt; 226plate150::pulresp cmnt; 126plate021::pulrespcmnt; 126plate051::pulrespcmnt; 226plate100::pulresp cmnt; 226plate080::pulresp cmnt; 226plate030::pulresp cmnt; 126plate411::pulrespcmnt; 226plate110::pulresp cmnt; 226plate050::pulresp cmnt; 226plate220::pulresp cmnt; 126plate031::pulrespcmnt; 226plate003::pulresp cmnt; 126plate301::pulrespcmnt; 227plate004::mhterm.1; 226plate040::pulresp cmnt; 126plate400::pulrespcmnt; 226plate200::pulresp cmnt; 226plate210::pulresp cmnt; 126plate090::pulrespcmnt; 226plate010::pulresp cmnt; BC-3 mothers all visits database FINAL::resp,Immediate clinical history; Disease,http://purl.obolibrary.org/obo/EUPATH_0021098; http://purl.obolibrary.org/obo/DOID_4
http://purl.obolibrary.org/obo/DOID_17,Musculoskeletal condition,"Assessed at all scheduled visits, unscheduled visits, and convalescent visits.; musculoskeletal",126plate312::musccmnt; 126plate036::musccmnt; 226plate003::musc cmnt; 126plate412::musccmnt; 227plate004::mhterm.8; 226plate220::musc cmnt; 126plate302::musccmnt; 226plate200::musc cmnt; 126plate032::musccmnt; 226plate051::musc cmnt; 226plate111::musc cmnt; 226plate011::musc cmnt; 126plate052::musccmnt; 226plate210::musc cmnt; 226plate101::musc cmnt; 226plate031::musc cmnt; 126plate401::musccmnt; 126plate022::musccmnt; BC-3 mothers all visits database FINAL::msk; BC-3 enrollment database FINAL::msk,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098
http://purl.obolibrary.org/obo/DOID_2355,Anemia,,icemr1 brazil observation 05jul18z st::anemia,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002
http://purl.obolibrary.org/obo/DOID_28,Endocrine condition,"Assessed at all scheduled visits, unscheduled visits, and convalescent visits.; endocrine",227plate004::mhterm.10; 226plate210::endmetab cmnt; 226plate200::endmetab cmnt; 126plate302::endmetabcmnt; 226plate220::endmetab cmnt; 226plate111::endmetab cmnt; BC-3 mothers all visits database FINAL::endo; BC-3 enrollment database FINAL::endo,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098
http://purl.obolibrary.org/obo/DOID_37,Skin condition,"Assessed at all scheduled visits, unscheduled visits, and convalescent visits.",126plate021::skindermcmnt; 226plate011::skinderm cmnt; 226plate031::skinderm cmnt; 226plate081::skinderm cmnt; 126plate411::skindermcmnt; 226plate041::skinderm cmnt; 226plate003::skinderm cmnt; 226plate210::skinderm cmnt; 226plate200::skinderm cmnt; 126plate301::skindermcmnt; 226plate101::skinderm cmnt; 126plate400::skindermcmnt; 226plate220::skinderm cmnt; 226plate111::skinderm cmnt; 126plate032::skindermcmnt; 227plate004::mhterm.7; 226plate051::skinderm cmnt; 126plate035::skindermcmnt; 126plate090::skindermcmnt; 126plate311::skindermcmnt; 226plate151::skinderm cmnt; BC-3 mothers all visits database FINAL::skin; BC-3 enrollment database FINAL::skin,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098
http://purl.obolibrary.org/obo/DOID_399,Tuberculosis,,Tuberculosis,Disease,http://purl.obolibrary.org/obo/DOID_4
http://purl.obolibrary.org/obo/DOID_4483,Runny nose or nasal congestion,,reasonvis   8,Symptoms,http://purl.obolibrary.org/obo/EUPATH_0021002
http://purl.obolibrary.org/obo/DOID_526,HIV,,HIV,Disease,http://purl.obolibrary.org/obo/DOID_4
http://purl.obolibrary.org/obo/DOID_5614,Eye condition,,BC-3 mothers all visits database FINAL::eye; BC-3 enrollment database FINAL::eye,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098
http://purl.obolibrary.org/obo/DOID_635,AIDS,,AIDS,Disease,http://purl.obolibrary.org/obo/DOID_4
http://purl.obolibrary.org/obo/DOID_77,Gastrointestinal condition,gastrointestinal,BC-3 enrollment database FINAL::gi; BC-3 mothers all visits database FINAL::gi,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098
http://purl.obolibrary.org/obo/DOID_863,Neurological condition,"Assessed at all scheduled visits, unscheduled visits, and convalescent visits.; Neuro",126plate401::neurocmnt; 226plate101::neuro cmnt; 226plate111::neuro cmnt; 227plate004::mhterm.11; 226plate011::neuro cmnt; 226plate220::neuro cmnt; 226plate051::neuro cmnt; 226plate200::neuro cmnt; 126plate302::neurocmnt; 226plate210::neuro cmnt; 126plate052::neurocmnt; 126plate312::neurocmnt; 126plate412::neurocmnt; 126plate022::neurocmnt; BC-3 mothers all visits database FINAL::neuro; BC-3 enrollment database FINAL::neuro,Immediate clinical history,http://purl.obolibrary.org/obo/EUPATH_0021098
http://purl.obolibrary.org/obo/DOID_9993,Hypoglycemia,Does the patient meet criteria for hypoglycemia,hypoglycemia rad,Signs and symptoms; Signs and Symptoms; Symptoms,http://purl.obolibrary.org/obo/EUPATH_0000309; http://purl.obolibrary.org/obo/EUPATH_0021002
http://purl.obolibrary.org/obo/DRON_00000904,Amoxicillin syrup,,ext bv ptreat st::syp  amoxycillin,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00001104,Folic acid tablet,,ext bv ptreat st::tab  folic acid,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00001106,Clotrimazole cream,,ext bv ptreat st::clotrimazole cream,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00001109,Nystatin suspension,,ext bv ptreat st::nystatin suspension,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00001114,Gentamicin injection,,ext bv ptreat st::gentamycine inj ,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00001117,Dexamethasone injection,,ext bv ptreat st::inj  dexamethasone,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00001123,Chloramphenicol eye drops,,ext bv ptreat st::cloramphenical eye drop,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00001126,Ceftriaxone injection,,ext bv ptreat st::inj  ceftriaxone,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00001138,Metronidazole syrup,,ext bv ptreat st::syp  metronidzole,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00001509,Prednisolone tablet,,ext bv ptreat st::tab prednisolone,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00001511,Salbutamol syrup,,ext bv ptreat st::syp  sulbutamol,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00017034,Ketotifen,,ext bv ptreat st::ketotifen,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00020431,Norsol nasal drops,,ext bv ptreat st::norsal nasal drop,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00020467,Paracetamol syrup,,ext bv ptreat st::syp  paracetamol,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00020551,Ceevit,,ext bv ptreat st::ceevit,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00020613,Ibruprofen syrup,,ext bv ptreat st::ibruprofen syp,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00020757,Ambrox drops,,ext bv ptreat st::ambrox drop,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00020873,Azithromycin syrup,,ext bv ptreat st::syp  azythromycin,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00021182,Cefixime suspension,,ext bv ptreat st::cefixime sup .cef.3.,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00021212,Cetirizine alatrol,,ext bv ptreat st::cetrizine .alatrol.,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00021279,Chlorpheniramine maleate syrup,,ext bv ptreat st::syp  chlorpheniramine m,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00021346,Ciprofloxacin syrup,,ext bv ptreat st::syp  ciprofloxacin,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00021406,Clotrimazole ear drops,,ext bv ptreat st::cotrimazole ear drop,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00021569,Diazepam tablet,,ext bv ptreat st::tab diazepam,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00021596,Dicycloverine hydrochloride,,ext bv ptreat st::dycyclovarine hcl,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00021709,Omidon syrup,,ext bv ptreat st::omidon syp,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00022040,Glycerine suppository,,ext bv ptreat st::glycerine suppository,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00022124,Hydroxyzine hydrochloride syrup,,ext bv ptreat st::syp  hydroxyzine hcl,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00022367,Mebendazole syrup,,ext bv ptreat st::syp. mebendazole,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00022621,Naproxen syrup,,ext bv ptreat st::syp naproxen,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00022711,Nitrazepam tablet,,ext bv ptreat st::tab nitrazipum,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00022759,Ondansetron syrup,,ext bv ptreat st::ondensetron syp,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00022806,Oxicone,,ext bv ptreat st::oxicone,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00023027,Konakion injection (vitamin K),,ext bv ptreat st::inj  konakion . vit.k.,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00023088,Potassium syrup (Electro K),,ext bv ptreat st::syp  pottasium .electrok.,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00023306,Riboflavin tablet,,ext bv ptreat st::tab  riboflavin,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00023392,Flacol drops,,ext bv ptreat st::flacol drop,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00023558,Theophylline,,ext bv ptreat st::theophyline,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00024920,Povidone ointment,,ext bv ptreat st::povidon ointment,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00025987,Xylometazoline drop,,ext bv ptreat st::xylometazoline drop,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00025989,Tobramycin eye drops,,ext bv ptreat st::tobramicine eye drop,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00026073,Ketoconazole shampoo,,ext bv ptreat st::ketakonazole shampoo,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00026161,Betson cream,,ext bv ptreat st::betson cream,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00026172,Calamine lotion,,ext bv ptreat st::calamine lotion,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00026326,Permethrin cream,,ext bv ptreat st::permethrin cream,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00026348,Silver sulfadiazine (Burnsil),,ext bv ptreat st::silver sulfazidine . burmsil.,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00026595,Lactulose syrup,,ext bv ptreat st::lactulose syp,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00026717,Amlexanox (Apsol gel),,ext bv ptreat st::amlexanox .apsol gel.,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00026889,Montelukast,,ext bv ptreat st::montelukast,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00026927,Nitazoxanide syrup,,ext bv ptreat st::syp  nitazoxanide,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00027488,Ranitidine syrup,,ext bv ptreat st::ranitidine syp,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00027639,Miconazole oral gel,,ext bv ptreat st::miconazole oral gel,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00027939,Tetrasol,,ext bv ptreat st::tetrasol,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00027970,Moxifloxacin eye drops,,ext bv ptreat st::moxifloxacine eye drop,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
http://purl.obolibrary.org/obo/DRON_00028948,Gentin ointment,,ext bv ptreat st::gentin ointment,Medication; Current medication,http://purl.obolibrary.org/obo/EUPATH_0025092
