IRI,label,variable,codebookDescription,codebookValues
http://purl.obolibrary.org/obo/EUPATH_0011843,Raw bacteria data for stool,F18_CLOSTR_GDH,Clostridium GDH Ag,0
http://purl.obolibrary.org/obo/EUPATH_0011843,Raw bacteria data for stool,F18_CLOSTR_TOXIN,Clostridium difficile Toxin A/B,0
http://purl.obolibrary.org/obo/EUPATH_0011843,Raw bacteria data for stool,F19_BFRAG_RESULTS,B. fragilis test result,0
http://purl.obolibrary.org/obo/EUPATH_0011845,Raw eukaryota data for stool,F19_HELMIN_ASCARIS,Ascaris lumbricoides Real Time PCR,0
http://purl.obolibrary.org/obo/EUPATH_0011845,Raw eukaryota data for stool,F19_HELMIN_STRONG,Strongyloides stercoralis Real Time PCR,0
http://purl.obolibrary.org/obo/EUPATH_0011963,Strongyloides in stool,pn48,Strongyloides stercoralis,
http://purl.obolibrary.org/obo/EUPATH_0011984,Shigella in stool,F16CORR_S_NONTYPE,Bacteria Isolated: Shigella non-typeable,0
http://purl.obolibrary.org/obo/EUPATH_0011984,Shigella in stool,F16CORR_SHIG_7A,Bacteria Isolated: Shigella flexneri serotype 7A,
http://purl.obolibrary.org/obo/EUPATH_0011984,Shigella in stool,F16CRF_SHIG_3C,Shigella flexneri serotype 3c,
http://purl.obolibrary.org/obo/EUPATH_0030117,Necator in stool,F19_HELMIN_NECATOR,Necator americanus Real Time PCR,0
http://purl.obolibrary.org/obo/EUPATH_0015716,Stool eukaryote testing,F19_HELMIN_TEST,Helminth Real Time PCR Test Completed,0
http://purl.obolibrary.org/obo/EUPATH_0011967,Bacteria in stool,pn50,Toxin positive Bacteroides fragilis,
http://purl.obolibrary.org/obo/EUPATH_0011967,Bacteria in stool,pn44,Clostridium difficile no toxin,
http://purl.obolibrary.org/obo/EUPATH_0011967,Bacteria in stool,pn45,Clostridium difficile toxin,
http://purl.obolibrary.org/obo/EUPATH_0011967,Bacteria in stool,pn46,No Clostridium difficile but toxin,
http://purl.obolibrary.org/obo/EUPATH_0011967,Bacteria in stool,pn61,"Clostridium difficile GDH positive, toxin negative",
http://purl.obolibrary.org/obo/EUPATH_0011967,Bacteria in stool,pn62,"Clostridium difficile GDH negative, toxin positive",
http://purl.obolibrary.org/obo/EUPATH_0011967,Bacteria in stool,pn43,Helicobacter pylori,
http://purl.obolibrary.org/obo/EUPATH_0030117,Eukaryota in stool,F19_HELMIN_ANCYL,Ancylostoma duodenale Real Time PCR,0
http://purl.obolibrary.org/obo/EUPATH_0030117,Eukaryota in stool,pn49,Hookworm,
http://purl.obolibrary.org/obo/EUPATH_0030117,Eukaryota in stool,pn47,Ascaris lumbridoides,
http://purl.obolibrary.org/obo/EUPATH_0010367,Age group,agegroup,Calculated Age Group from base_age,1
http://purl.obolibrary.org/obo/EUPATH_0010368,Age at eligibility form completion (months),base_age,Combined Age from F3Age Cases and F6 Age Controls,
http://purl.obolibrary.org/obo/EUPATH_0010049,Case ID,CASEID,"Child ID of Case, used to group Cases and matching Control",Num
http://purl.obolibrary.org/obo/EUPATH_0010047,Study center,CENTER,3-Digit Center Number,
http://purl.obolibrary.org/obo/EUPATH_0000667,Deceased,death,Did child pass away within 60 days? (Calculated from date of death F5),0
http://purl.obolibrary.org/obo/EUPATH_0015422,Dysentery,dysentery_ind,Was dysentery indicated?,0/1
http://purl.obolibrary.org/obo/EUPATH_0010369,Enrollment month,ENR_MON | enrollmon,Month of enrollment,
http://purl.obolibrary.org/obo/EUPATH_0010370,Enrollment year,ENR_YR | enrollyr,Year of enrollment,
http://purl.obolibrary.org/obo/EUPATH_0000151,Enrollment date,ENROLLDATE | F6_DATE_ENROLL,"Date of Enrollment (or visit date on form 3, 2, 6) | If child is enrolled into the study, enter the date of enrollment.",DATE
http://purl.obolibrary.org/obo/EUPATH_0015231,Amoxycillin,F11_ANTI_AMOX,If received antibiotic: Amoxicillin?,0
http://purl.obolibrary.org/obo/EUPATH_0015220,Ampicillin,F11_ANTI_AMPI,If received antibiotic: Ampicillin?,0
http://purl.obolibrary.org/obo/EUPATH_0015228,Azithromycin,F11_ANTI_AZIT,If received antibiotic: Azithromycin?,0
http://purl.obolibrary.org/obo/EUPATH_0015226,Chloramphenicol or thiamphenicol,F11_ANTI_CHLO,If received antibiotic: Chloramphenicol/Thiamphenicol?,0
http://purl.obolibrary.org/obo/EUPATH_0015223,Ciprofloxacin,F11_ANTI_CIPR,If received antibiotic: Ciprofloxacin/Norfloxacin/other fluroquinolone?,0
http://purl.obolibrary.org/obo/EUPATH_0015222,Cotrimoxazole,F11_ANTI_COTR,If received antibiotic: Cotrimoxazole?,0
http://purl.obolibrary.org/obo/EUPATH_0010219,1st antibiotic administration date,F11_ANTI_DATE,If antibiotic was given: Date of first antibiotic,Date
http://purl.obolibrary.org/obo/EUPATH_0015227,Erythromycin,F11_ANTI_ERYT,If received antibiotic: Erythromycin?,0
http://purl.obolibrary.org/obo/EUPATH_0015225,Gentamycin,F11_ANTI_GENT,If received antibiotic: Gentamycin?,0
http://purl.obolibrary.org/obo/EUPATH_0015229,Other macrolides,F11_ANTI_MACR,If received antibiotic: Other Macrolides?,0
http://purl.obolibrary.org/obo/EUPATH_0015221,Nalidixic acid,F11_ANTI_NALI,If received antibiotic: Nalidixic acid?,0
http://purl.obolibrary.org/obo/EUPATH_0015232,Other antibiotic,F11_ANTI_OTHER,If received antibiotic: Other Antibiotic?,0
http://purl.obolibrary.org/obo/EUPATH_0015230,Penicillin,F11_ANTI_PENI,If received antibiotic: Penicillin?,0
http://purl.obolibrary.org/obo/EUPATH_0015224,Selexid or pivmecillinam,F11_ANTI_SELE,If received antibiotic: Selexid/Pivimecillinam,0
http://purl.obolibrary.org/obo/EUPATH_0010220,Time of 1st antibiotic administration,F11_ANTI_TIME,If antibiotic was given: Time of first antibiotic,Time 24 hr
http://purl.obolibrary.org/obo/EUPATH_0010218,Administered antibiotic,F11_ANTIBIOTIC,"If the child is a case, did s/he receive antibiotics after arriving at the health cetner but before producing the whole stool specimen? If the child is a control, did s/he receive antibiotic during the 4 hours prior to stool collection?",0
http://purl.obolibrary.org/obo/EUPATH_0015217,Stool blood present,F11_BLOOD,Characterization of whole stool sample: Blood,0
http://purl.obolibrary.org/obo/EUPATH_0010217,Stool consistency,F11_CONSISTENCY,Consistency of whole stool sample,1
http://purl.obolibrary.org/obo/OBI_0001619,Sample collection date,F11_DATE,Visit date for Stool Collection,
http://purl.obolibrary.org/obo/EUPATH_0010224,Date stool or rectal swab placed in transport media,F11_DATESTAFF,Date whole stool/rectal swab placed in transport media,Date
http://purl.obolibrary.org/obo/EUPATH_0010215,Date stool passed,F11_DATESTOOL,Date first whole stool passed/excreted,Date
http://purl.obolibrary.org/obo/EUPATH_0000711,Stool mucus present,F11_MUCUS,Characterization of whole stool sample: Mucus,0
http://purl.obolibrary.org/obo/EUPATH_0015218,Stool pus present,F11_PUS,Characterization of whole stool sample: Pus,0
http://purl.obolibrary.org/obo/EUPATH_0010221,Rectal swabs collected,F11_RECTAL_SWAB,"If the child is a case and was given antibiotics at the health center before the child produced a whole stool specimen, were rectal swabs collected form the child before the child received antibiotics?",0
http://purl.obolibrary.org/obo/EUPATH_0010222,Rectal swab date,F11_SWAB_DATE,Date rectal swabs obtained,Date
http://purl.obolibrary.org/obo/EUPATH_0010223,Rectal swab time,F11_SWAB_TIME,Time rectal swabs obtained,Time 24 hr
http://purl.obolibrary.org/obo/EUPATH_0010225,Time stool or rectal swab placed in transport media,F11_TIMESTAFF,Time whole stool/rectal swab placed in transport media,Time 24 hr
http://purl.obolibrary.org/obo/EUPATH_0010216,Time stool passed,F11_TIMESTOOL,Time first whole stool passed/excreted,24 hr Time
http://purl.obolibrary.org/obo/EUPATH_0015454,Stool weight (g),F15_WT_VOL_ACT,Actual weight,
http://purl.obolibrary.org/obo/EUPATH_0015299,"Campylobacter (non-jejuni or coli), by bacteriology",F16_CAMPY_NONJEJ,Bacteria Isolated: Campylobacter (not jejuni or coli),0
http://purl.obolibrary.org/obo/EUPATH_0015300,"Campylobacter (non-speciated), by bacteriology",F16_CAMPY_NONSPEC,Bacteria Isolated: Campylobacter (non-speciated),0
http://purl.obolibrary.org/obo/EUPATH_0015458,Test date,F16_DATE,Calculated Date of Test,Date
http://purl.obolibrary.org/obo/EUPATH_0015306,"Vibrio cholerae, by bacteriology",F16_VIB_CHOLERAE,Bacteria Isolated: Vibrio cholerae,0
http://purl.obolibrary.org/obo/EUPATH_0015464,"Vibrio cholerae Inaba or Ogawa, by bacteriology result",F16_VIB_INABAOGAWA,Bacteria isolated: Vibrio 01,1
http://purl.obolibrary.org/obo/EUPATH_0015309,"Vibrio cholerae non-O1/O139, by bacteriology",F16_VIB_NON,Bacteria Isolated: Vibrio cholerae Non01/0139 Serotype,0
http://purl.obolibrary.org/obo/EUPATH_0015312,"Vibrio (other species), by bacteriology",F16_VIB_OTHER,Bacteria Isolated: Vibrio (other species),0
http://purl.obolibrary.org/obo/EUPATH_0015322,"Vibrio parahaemolyticus, by bacteriology",F16_VIB_PARAHAEM,Bacteria Isolated: Vibrio parahaemolyticus,0
http://purl.obolibrary.org/obo/EUPATH_0010630,"Escherichia coli, by bacteriology result",F16CORR_ECOLI,Bacteria Isolated: E. coli Isolated,0
http://purl.obolibrary.org/obo/EUPATH_0015443,"Shigella flexneri serotype 1A, by bacteriology",F16CORR_SHIG_1A,Bacteria Isolated: Shigella flexneri Serotype 1A,0
http://purl.obolibrary.org/obo/EUPATH_0015444,"Shigella flexneri serotype 1B, by bacteriology",F16CORR_SHIG_1B,Bacteria Isolated: Shigella flexneri Serotype 1B,0
http://purl.obolibrary.org/obo/EUPATH_0015445,"Shigella flexneri serotype 2A, by bacteriology",F16CORR_SHIG_2A,Bacteria Isolated: Shigella flexneri Serotype 2A,0
http://purl.obolibrary.org/obo/EUPATH_0015446,"Shigella flexneri serotype 2B, by bacteriology",F16CORR_SHIG_2B,Bacteria Isolated: Shigella flexneri Serotype 2B,0
http://purl.obolibrary.org/obo/EUPATH_0015447,"Shigella flexneri serotype 3A, by bacteriology",F16CORR_SHIG_3A,Bacteria Isolated: Shigella flexneri Serotype 3A,0
http://purl.obolibrary.org/obo/EUPATH_0015448,"Shigella flexneri serotype 3B, by bacteriology",F16CORR_SHIG_3B,Bacteria Isolated: Shigella flexneri Serotype 3B,0
http://purl.obolibrary.org/obo/EUPATH_0015324,"Shigella flexneri serotype 4A, by bacteriology",F16CORR_SHIG_4A,Bacteria Isolated: Shigella flexneri Serotype 4A,0
http://purl.obolibrary.org/obo/EUPATH_0015301,"Shigella flexneri serotype 4B, by bacteriology",F16CORR_SHIG_4B,Bacteria Isolated: Shigella flexneri Serotype 4B,0
http://purl.obolibrary.org/obo/EUPATH_0015325,"Shigella flexneri serotype 4C, by bacteriology",F16CORR_SHIG_4C,Bacteria Isolated: Shigella flexneri Serotype 4C,0
http://purl.obolibrary.org/obo/EUPATH_0015326,"Shigella flexneri serotype 5A, by bacteriology",F16CORR_SHIG_5A,Bacteria Isolated: Shigella flexneri Serotype 5A,0
http://purl.obolibrary.org/obo/EUPATH_0015302,"Shigella flexneri serotype 5B, by bacteriology",F16CORR_SHIG_5B,Bacteria Isolated: Shigella flexneri Serotype 5B,0
http://purl.obolibrary.org/obo/EUPATH_0015303,"Shigella flexneri serotype 6, by bacteriology",F16CORR_SHIG_6,Bacteria Isolated: Shigella flexneri Serotype 6,0
http://purl.obolibrary.org/obo/EUPATH_0015304,"Shigella flexneri non-typeable, by bacteriology result",F16CORR_SHIG_NONTYP,Bacteria Isolated: Shigella flexneri Non-typeable,0
http://purl.obolibrary.org/obo/EUPATH_0015327,"Shigella flexneri serotype X, by bacteriology",F16CORR_SHIG_X,Bacteria Isolated: Shigella flexneri Serotype X,0
http://purl.obolibrary.org/obo/EUPATH_0015328,"Shigella flexneri serotype Y, by bacteriology",F16CORR_SHIG_Y,Bacteria Isolated: Shigella flexneri Serotype Y,0
http://purl.obolibrary.org/obo/EUPATH_0015314,"EHEC efa1-pos, by PCR result",F17A_EFA1,EPEC EFA-1,0
http://purl.obolibrary.org/obo/EUPATH_0015313,"Escherichia coli sen-pos, by PCR result",F17A_SEN,EPEC SEN PCR,0
http://purl.obolibrary.org/obo/EUPATH_0010687,"STEC stx1-pos, by PCR result",F17A_STX1,EPEC STX-1 PCR,0
http://purl.obolibrary.org/obo/EUPATH_0010691,"STEC stx2-pos, by PCR result",F17A_STX2,EPEC STX-2 PCR,0
http://purl.obolibrary.org/obo/EUPATH_0015409,"EPEC bfpA, by PCR monoplex result",F17CORR_BFPA_RESULTS,bfpA monoplex PCR results,0
http://purl.obolibrary.org/obo/EUPATH_0015425,"EPEC eae, by PCR duplex result",F17CORR_EAE_RESULTS,PCR Duplex: EPEC eae results,0
http://purl.obolibrary.org/obo/EUPATH_0015408,EPEC bfpA PCR monoplex performed,F17CORR_EPEC_BFPA,bfpA monoplex PCR,0
http://purl.obolibrary.org/obo/EUPATH_0010659,"EAEC aaiC-pos, by PCR result",F17CORR_RESULT_AAIC,aaiC PCR,0
http://purl.obolibrary.org/obo/EUPATH_0010663,"EAEC aatA-pos, by PCR result",F17CORR_RESULT_AATA,aatA PCR,0
http://purl.obolibrary.org/obo/EUPATH_0015318,"EPEC bfpA-pos, by PCR result",F17CORR_RESULT_BFPA,bfpa PCR,0
http://purl.obolibrary.org/obo/EUPATH_0010671,"EPEC eae-pos, by PCR result",F17CORR_RESULT_EAE,EAE PCR,0
http://purl.obolibrary.org/obo/EUPATH_0010679,"ETEC LT-pos, by PCR result",F17CORR_RESULT_ELTB,eltb (LT) PCR,0
http://purl.obolibrary.org/obo/EUPATH_0015317,"ETEC ST-pos, by PCR result",F17CORR_RESULT_ESTA,estA (ST) PCR,0
http://purl.obolibrary.org/obo/EUPATH_0015453,"ETEC ST-pos, by PCR duplex result",F17CORR_ST_RESULTS,PCR Duplex: EPEC ST,0
http://purl.obolibrary.org/obo/EUPATH_0015440,Registration date,F2_DATE,Registration Log Date Completed,DATE
http://purl.obolibrary.org/obo/EUPATH_0010995,Hospitalized,F2_HOSP,Hospitalized?,0
http://purl.obolibrary.org/obo/EUPATH_0010410,Passed 3 or more abnormally loose stools in last 24hrs,F3_ABN_LOOSE,Did this child pass 3 or more abnormally loose stools during the previous 24 hours?,1
http://purl.obolibrary.org/obo/EUPATH_0010409,Participant under 60 months,F3_AGE59,Is this child 0-59 months of Age,1
http://purl.obolibrary.org/obo/EUPATH_0010421,Given antibiotic before stool collection,F3_ANTIBIOTIC,Was child given antibiotic before whole stool sample could be collected?,0
http://purl.obolibrary.org/obo/EUPATH_0010407,Qualified as DSS resident,F3_CHILD_DSS | F2_DSS,Does the Child Qualify as a DSS Resident? | Qualifies for DSS?,1
http://purl.obolibrary.org/obo/EUPATH_0010424,Participant enrolled,F3_CHILD_ENROLL,Was the child enrolled?,1
http://purl.obolibrary.org/obo/EUPATH_0010420,Consent for enrollment given,F3_CONSENT,Was consent obtained?,1
http://purl.obolibrary.org/obo/EUPATH_0010411,Current diarrhea episode began within the last 7 days,F3_DRH_7,Did current diarrhea episode begin within the previous 7 days?,1
http://purl.obolibrary.org/obo/EUPATH_0010416,Dysentery,F3_DRH_DYS,Does the Child have any one of the following: dysentery (diarrhea with visible blood in stool observed or reported),0
http://purl.obolibrary.org/obo/EUPATH_0010417,Hospitalized with diarrhea or dysentery,F3_DRH_HOSP,Does the Child have any one of the following: hospitalized with diarrhea or dysentery,0
http://purl.obolibrary.org/obo/EUPATH_0010415,IV rehydration administered or prescribed,F3_DRH_IV,Does the Child have any one of following: intravenous rehydration administered or prescribed?,0
http://purl.obolibrary.org/obo/EUPATH_0010413,"Sunken eyes, more than normal",F3_DRH_SUNKEYES,"Does the Child have any one of following: Sunken eyes, more than normal",0
http://purl.obolibrary.org/obo/EUPATH_0010414,Loss of skin turgor,F3_DRH_TURGOR,Does the Child have any one of following: Loss of skin turgor,0
http://purl.obolibrary.org/obo/EUPATH_0010412,At least 7 days without diarrhea before current episode,F3_DRH7DAY,"Before this episode began, did the child have at least 7 days without Diarrhea?",1
http://purl.obolibrary.org/obo/EUPATH_0010423,Rectal swabs collected before antibiotics and whole stool collected within 12hrs of registration,F3_RECT_SWAB,"if Yes to 'was child given ab', were rectal swabs taken before antibiotics and was a whole stool collected within 12 hours of registration?",1
http://purl.obolibrary.org/obo/EUPATH_0010422,Whole stool collected within 12 hrs of registration,F3_STOOL_SMPL,"If no to 'was child given ab', was a stool sample collected from the child within 12 hours of registration?",1
http://purl.obolibrary.org/obo/EUPATH_0015027,Cat,F4A_ANI_CAT | F7_ANI_CAT,Do the following animals live in the compound where Child lives? Cat?,0
http://purl.obolibrary.org/obo/EUPATH_0015028,Cow,F4A_ANI_COW | F7_ANI_COW,Do the following animals live in the compound where Child lives? Cow?,0
http://purl.obolibrary.org/obo/EUPATH_0015026,Dog,F4A_ANI_DOG | F7_ANI_DOG,Do the following animals live in the compound where Child lives? Dog?,0
http://purl.obolibrary.org/obo/EUPATH_0015029,Rodents,F4A_ANI_RODENTS | F7_ANI_RODENTS,Do the following animals live in the compound where Child lives? Rodents?,0
http://purl.obolibrary.org/obo/EUPATH_0015025,Sheep,F4A_ANI_SHEEP | F7_ANI_SHEEP,Do the following animals live in the compound where Child lives? Sheep?,0
http://purl.obolibrary.org/obo/EUPATH_0010147,Preferred chlorine treatment brand,F4A_CHLORINE | F7_CHLORINE,"If you use chlorine liquid, powder or tablets, which type do you most commonly use?",0
http://purl.obolibrary.org/obo/EUPATH_0010253,"1st choice hospital or health center, total expenses",F4A_CTR1_TOTAL,What were your or your household estimated out-of-pocket expenses for the following: Total Medical Hospital/Center of 1st Choice,Num
http://purl.obolibrary.org/obo/EUPATH_0010254,"1st choice hospital or health center, transport expenses",F4A_CTR1_TRNSPRT,What were your or your household estimated out-of-pocket expenses for the following: Transportation Hospital/Center of 1st Choice,Num
http://purl.obolibrary.org/obo/EUPATH_0010255,"2nd choice hospital or health center, total expenses",F4A_CTR2_TOTAL,What were your or your household estimated out-of-pocket expenses for the following: Total Medical Hospital/Center of 2nd Choice,Num
http://purl.obolibrary.org/obo/EUPATH_0010256,"2nd choice hospital or health center, transport expenses",F4A_CTR2_TRNSPRT,What were your or your household estimated out-of-pocket expenses for the following: Transportation Hospital/Center of 2nd Choice,Num
http://purl.obolibrary.org/obo/EUPATH_0010257,"3rd choice hospital or health center, total expenses",F4A_CTR3_TOTAL,What were your or your household estimated out-of-pocket expenses for the following: Total Medical Hospital/Center of 3rd Choice,Num
http://purl.obolibrary.org/obo/EUPATH_0010258,"3rd choice hospital or health center, transport expenses",F4A_CTR3_TRNSPRT,What were your or your household estimated out-of-pocket expenses for the following: Transportation Hospital/Center of 3rd Choice,Num
http://purl.obolibrary.org/obo/EUPATH_0015080,Dry mouth,F4A_CUR_DRYMOUTH,"Right now, does your child have any of the following? Dry mouth?",0
http://purl.obolibrary.org/obo/EUPATH_0015081,Fast breathing,F4A_CUR_FASTBREATH,"Right now, does your child have any of the following? Fast breathing?",0
http://purl.obolibrary.org/obo/EUPATH_0015079,Lethargy or loss of consciousness,F4A_CUR_LETHRGY,"Right now, does your child have any of the following? Lethargy or loss of consciousness?",0
http://purl.obolibrary.org/obo/EUPATH_0015075,Drinks poorly,F4A_CUR_NODRINK,"Right now, does your child have any of the following? Drinks poorly or not able to drink?",0
http://purl.obolibrary.org/obo/EUPATH_0015078,Irritable or restless,F4A_CUR_RESTLESS,"Right now, does your child have any of the following? Irritable or restless?",0
http://purl.obolibrary.org/obo/EUPATH_0015077,Wrinkled skin,F4A_CUR_SKIN,"Right now, does your child have any of the following? Wrinkled skin?",0
http://purl.obolibrary.org/obo/EUPATH_0015076,Sunken eyes,F4A_CUR_SUNKEYES,"Right now, does your child have any of the following? Sunken Eyes?",0
http://purl.obolibrary.org/obo/EUPATH_0015074,Very thirsty,F4A_CUR_THIRSTY,"Right now, does your child have any of the following? Very thirsty?",0
http://purl.obolibrary.org/obo/EUPATH_0010277,Income days lost while seeking care,F4A_DAYSLOST_CARE,How much time have you spent taking care of Child when otherwise you woul dhave been doing income generating activities?,Character and Numeric
http://purl.obolibrary.org/obo/EUPATH_0010278,Other caregivers income days lost while seeking care,F4A_DAYSLOST_OTHRCRE,How much time have other caregivers spent taking care of Child when otherwise they would have been doing income generating activities?,Character and Numeric
http://purl.obolibrary.org/obo/EUPATH_0010247,"Unlicensed doctor, total expenses",F4A_DOC_TOTAL,What were your or your household estimated out-of-pocket expenses for the following: Total Medical Unlicensed practitioner/village doctor/bush doctor,Num
http://purl.obolibrary.org/obo/EUPATH_0010248,"Unlicensed doctor, transport expenses",F4A_DOC_TRNSPRT,What were your or your household estimated out-of-pocket expenses for the following: Transportation Unlicensed practitioner/village doctor/bush doctor,Num
http://purl.obolibrary.org/obo/EUPATH_0015706,Abdominal pain,F4A_DRH_BELLYPAIN,Did Child have any of the following since this illness began? Belly pain?,0
http://purl.obolibrary.org/obo/EUPATH_0015059,Blood in stools,F4A_DRH_BLOOD,Did Child have any of the following since this illness began? Blood in stools?,0
http://purl.obolibrary.org/obo/EUPATH_0015072,Difficulty breathing,F4A_DRH_BREATH,Did Child have any of the following since this illness began? Difficulty breathing?,0
http://purl.obolibrary.org/obo/EUPATH_0015068,Loss of consciousness,F4A_DRH_CONSC,Did Child have any of the following since this illness began? Loss of consciousness?,0
http://purl.obolibrary.org/obo/EUPATH_0015073,Convulsion,F4A_DRH_CONV,Did Child have any of the following since this illness began? Convulsion?,0
http://purl.obolibrary.org/obo/EUPATH_0015707,Cough,F4A_DRH_COUGH,Did Child have any of the following since this illness began? Cough?,0
http://purl.obolibrary.org/obo/EUPATH_0010238,Diarrheal episode duration (days),F4A_DRH_DAYS,How many days including today has this episode of diarrhea lasted?,Num
http://purl.obolibrary.org/obo/EUPATH_0015065,Measured fever of at least 38C or parental perception,F4A_DRH_FEVER,Did Child have any of the following since this illness began? Fever measured at least 38C or parental perception?,0
http://purl.obolibrary.org/obo/EUPATH_0015062,Drank much less than usual,F4A_DRH_LESSDRINK,Did Child have any of the following since this illness began? Drank much less than usual?,0
http://purl.obolibrary.org/obo/EUPATH_0015067,Decreased activity or lethargy,F4A_DRH_LETHRGY,Did Child have any of the following since this illness began? Decreased activity or lethargy?,0
http://purl.obolibrary.org/obo/EUPATH_0015070,Rectal prolapse,F4A_DRH_PROLAPSE,Did Child have any of the following since this illness began? Rectal prolapse?,0
http://purl.obolibrary.org/obo/EUPATH_0015066,Irritable or restless,F4A_DRH_RESTLESS,Did Child have any of the following since this illness began? Irritable or restless?,0
http://purl.obolibrary.org/obo/EUPATH_0010239,Describe stool since the illness began,F4A_DRH_STOOLS,"Since Child became ill with diarrhea, how would you describe the stool?",1
http://purl.obolibrary.org/obo/EUPATH_0015069,Rectal straining,F4A_DRH_STRAIN,Did Child have any of the following since this illness began? Rectal straining?,0
http://purl.obolibrary.org/obo/EUPATH_0015061,Very thirsty,F4A_DRH_THIRST,Did Child have any of the following since this illness began? Very thirsty?,0
http://purl.obolibrary.org/obo/EUPATH_0015063,Unable to drink,F4A_DRH_UNDRINK,Did Child have any of the following since this illness began? Unable to drink?,0
http://purl.obolibrary.org/obo/EUPATH_0015060,Vomiting 3 or more times per day,F4A_DRH_VOMIT,Did Child have any of the following since this illness began? Vomiting 3 or more times per day?,0
http://purl.obolibrary.org/obo/EUPATH_0010266,"Hospitalization or visit, consultation expenses",F4A_EXPEN_CONSULT,What are your estimated out-of-pocket expenses for the following? Consultation?,Num
http://purl.obolibrary.org/obo/EUPATH_0010268,"Hospitalization or visit, diagnostic expenses",F4A_EXPEN_DIAG,What are your estimated out-of-pocket expenses for the following? Diganostics?,Num
http://purl.obolibrary.org/obo/EUPATH_0010267,"Hospitalization or visit, drug expenses",F4A_EXPEN_DRUG,What are your estimated out-of-pocket expenses for the following? Drugs?,Num
http://purl.obolibrary.org/obo/EUPATH_0010269,"Hospitalization or visit, food expenses",F4A_EXPEN_FOOD,What are your estimated out-of-pocket expenses for the following? Food?,Num
http://purl.obolibrary.org/obo/EUPATH_0010270,"Hospitalization or visit, other expenses (amount)",F4A_EXPEN_OTHR,What are your estimated out-of-pocket expenses for the following? Other?,Num
http://purl.obolibrary.org/obo/EUPATH_0010271,"Hospitalization or visit, other expenses",F4A_EXPEN_SPEC,What are your estimated out-of-pocket expenses for the following? Specify.,Char
http://purl.obolibrary.org/obo/EUPATH_0010272,"Hospitalization or visit, total expenses",F4A_EXPEN_TOTAL,What are your estimated out-of-pocket expenses for the following? Total.,Num
